rightIntensity,xdistance,rightTouch,leftTouch,class
28,75,TRUE,TRUE,BACKLEFT
28,55,TRUE,TRUE,BACKLEFT
29,53,TRUE,TRUE,BACKLEFT
29,51,TRUE,TRUE,BACKLEFT
30,51,TRUE,TRUE,BACKLEFT
30,50,TRUE,TRUE,BACKLEFT
30,51,TRUE,TRUE,BACKLEFT
29,51,TRUE,TRUE,BACKLEFT
29,51,TRUE,TRUE,BACKLEFT
29,51,TRUE,TRUE,BACKLEFT
28,74,TRUE,TRUE,BACKLEFT
28,53,TRUE,TRUE,BACKLEFT
28,75,TRUE,TRUE,BACKLEFT
28,73,TRUE,TRUE,BACKLEFT
28,56,TRUE,TRUE,BACKLEFT
28,55,TRUE,TRUE,BACKLEFT
28,56,TRUE,TRUE,BACKLEFT
28,74,TRUE,TRUE,BACKLEFT
28,74,TRUE,TRUE,BACKLEFT
28,74,TRUE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,53,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,51,FALSE,TRUE,BACKLEFT
27,51,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,53,FALSE,TRUE,BACKLEFT
28,51,FALSE,TRUE,BACKLEFT
28,50,FALSE,TRUE,BACKLEFT
28,49,FALSE,TRUE,BACKLEFT
27,48,FALSE,TRUE,BACKLEFT
27,75,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,73,FALSE,TRUE,BACKLEFT
27,53,FALSE,TRUE,BACKLEFT
27,53,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,57,FALSE,TRUE,BACKLEFT
27,59,FALSE,TRUE,BACKLEFT
27,56,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,53,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
28,52,FALSE,TRUE,BACKLEFT
28,52,FALSE,TRUE,BACKLEFT
28,51,FALSE,TRUE,BACKLEFT
28,52,FALSE,TRUE,BACKLEFT
27,52,FALSE,TRUE,BACKLEFT
27,54,FALSE,TRUE,BACKLEFT
27,57,FALSE,TRUE,BACKLEFT
27,56,FALSE,TRUE,BACKLEFT
27,57,FALSE,TRUE,BACKLEFT
27,55,FALSE,TRUE,BACKLEFT
28,55,FALSE,TRUE,BACKLEFT
28,54,FALSE,TRUE,BACKLEFT
28,53,FALSE,TRUE,BACKLEFT
28,53,FALSE,TRUE,BACKLEFT
27,57,TRUE,FALSE,BACKLEFT
27,55,TRUE,FALSE,BACKLEFT
27,56,TRUE,FALSE,BACKLEFT
27,55,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,52,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,54,TRUE,FALSE,BACKLEFT
27,53,TRUE,FALSE,BACKLEFT
27,59,TRUE,FALSE,BACKLEFT
