intensity,class
28,LEFT
28,LEFT
28,LEFT
29,LEFT
29,LEFT
30,LEFT
30,LEFT
31,LEFT
27,RIGHT
28,RIGHT
28,RIGHT
28,LEFT
35,LEFT
35,LEFT
35,LEFT
35,LEFT
36,LEFT
28,RIGHT
28,RIGHT
30,RIGHT
29,RIGHT
30,RIGHT
31,LEFT
31,RIGHT
33,RIGHT
28,RIGHT
28,RIGHT
30,LEFT
31,LEFT
31,LEFT
28,RIGHT
29,LEFT
29,RIGHT
31,LEFT
31,LEFT
29,RIGHT
29,LEFT
31,LEFT
34,RIGHT
30,RIGHT
30,RIGHT
31,LEFT
32,RIGHT
30,RIGHT
33,LEFT
28,RIGHT
28,RIGHT
30,LEFT
32,LEFT
34,RIGHT
28,LEFT
29,RIGHT
27,RIGHT
27,RIGHT
27,RIGHT
28,RIGHT
29,LEFT
30,LEFT
29,RIGHT
30,RIGHT
31,LEFT
33,RIGHT
29,RIGHT
29,RIGHT
31,LEFT
34,RIGHT
28,RIGHT
28,LEFT
33,RIGHT
28,RIGHT
29,LEFT
34,RIGHT
29,RIGHT
30,RIGHT
34,RIGHT
28,LEFT
29,LEFT
29,LEFT
31,LEFT
31,LEFT
30,RIGHT
27,LEFT
27,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
36,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
35,RIGHT
35,RIGHT
34,RIGHT
34,RIGHT
33,RIGHT
32,RIGHT
31,RIGHT
30,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
33,RIGHT
33,RIGHT
32,RIGHT
32,RIGHT
32,RIGHT
32,RIGHT
31,RIGHT
31,RIGHT
34,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
34,RIGHT
33,RIGHT
33,RIGHT
32,RIGHT
32,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
34,RIGHT
33,RIGHT
33,RIGHT
32,RIGHT
31,RIGHT
31,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
36,RIGHT
36,RIGHT
36,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
35,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
33,RIGHT
33,RIGHT
33,RIGHT
33,RIGHT
33,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
35,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
34,RIGHT
26,LEFT
26,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
28,LEFT
28,LEFT
29,LEFT
30,LEFT
30,LEFT
31,LEFT
31,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
28,RIGHT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
26,LEFT
28,LEFT
26,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
27,LEFT
